S.NO,Name,Address,Phone,Email,Category,Type
1,Aai Bahuuddeshiya Sevabhavi Sanstha Shourya Blood Centre Yavatmal,"Plot No. 26/02, Second Floor, Gourav Complex, Near Rana Pratap Gate, Mouza-Wadgao Road, Yavatmal, Dist. Yavatmal",9552865402,shouryabloodcentre@gmail.com,Charitable/Vol,Camps
2,"Abhinav Sikshan Mandal'S,  Sanjeevan Blood Centre","250/B/65  first floor, lucky Naresh Banglow, opp. Collector office nagala park , Kolhapur, Dist. Kolhapur","9371782825,0231 - 2668031 /32",ssfarakte@yahoo.in,Charitable/Vol,Camps
3,Acharya Shree Tulsi Blood Centre,"Gat.No.1232 Sangli - Kolhapur Road, Jaysingpur Udgaon, in front of Sai showroom ,Udagaon, jaysingpur, Dist. Kolhapur",7057548108,tulsibloodbank.555@gmail.com,Charitable/Vol,Camps
4,"Adarsh Sanskaar Mandal  Sanchalit, Dr. Hedgewar Rakta Pedhi, Blood Centre","Balaji Plot  SBI Colony no - 1,  Near Jathat peth,  No.1, Akola, Dist. Akola",9422862482,siddhsamir@rediffmail.com,Charitable/Vol,Camps
5,Advanced Centre For Treatment Reasearch And Education In Cancer,"Owe Village, Sector 22,Plot no-2, Kharghar, Navi Mumbai, Panvel, Dist. Raigarh",",022-27405073",transmed.dept@actrec.gov.in,Govt.,Camps
6,Ahmednagar Municipal Council Blood Centre,"Late. Balasaheb Deshpande Hospital, Near Asha Theatre, Late. Balasaheb Deshpande Hospital, Near Asha Theatre, Ahmednagar, Dist. Ahmadnagar",9372879393,bloodbankamc@gmail.com,Govt.,Camps
7,AIIMS NAGPUR BLOOD CENTER,"GROUND FLOOR, AYUSH BUILDING, AIIMS NAGPUR, Nagpur, Dist. Nagpur",7122352055,bloodcenter@aiimsnagpur.edu.in,Govt.,Camps
8,Akshay Blood Centre,"Survey No.2212, First Floor, Laxmi Narayan Apartment, South Sadar Bazar, Lashkar, Solapur, Solapur, Dist. Solapur","SANJAY SHINDHE -9890244339, 0217-2315025",akshaybloodbank.solapur@gmail.com,Charitable/Vol,Camps
9,"Akshay Blood Centre, Miraj","Plot No- 1/7, Near Anand Nursing Home, 2nd Floor Miraj Sangli Road, Miraj, Dist. Sangli","9960943175,0233-2212448 / 449",abbmiraj@gmail.com,Charitable/Vol,Camps
10,Anandrushiji Blood Centre,"Survey no.16/1, plot no.2 behind Anadrushiji Hospital Burudgaon road, Ahmednagar, Dist. Ahmadnagar","9049673565,0241-2320472 /3/4",ar.bloodbank@gmail.com,Charitable/Vol,Camps
11,Annasaheb Galatge Lions Blood Centre  Run By Gadhinglaj Lions Welfare Association,"Doctor's Colony, Gadhinglaj, Gadhinglaj, Dist. Kolhapur",9423800099,annasahebg@gmail.com,Charitable/Vol,Camps
12,Apollo Hospital Charitable Trusts' Apollo Hospital Blood Centre,"Plot No. 13, Parsik Hill Road, off Uran Road, Sector -23, CBD Belapur, Opp. Nerul Wonders Park, Navi Mumbai , Navi Mumbai, Dist. Raigarh","022 33503583 , 9664367238",bloodbank_nm@apollohospitals.com,Charitable/Vol,Camps
13,Arpan Blood Centre AND Blood Component Laboratory AND Research Centre Nashik,"1 st floor, Office No.102/103, Dr. Athawale Chambers, Opp.Gavkari Press Tilak Path, Nashik, Dist. Nashik",9822324340(Tated)/9422770765,nandkishor@arpanbloodbank.org,Charitable/Vol,Camps
14,"Arpan Blood Centre, Blood Component AND Apheresis Centre Kolhapur","1st floor,Saroj Apparment, Subhash Road, Near Reliance Mall, Kolhapur, KOLHAPUR, Dist. Kolhapur",8605757555,arpanbloodbankkop@gmail.com,Charitable/Vol,Camps
15,Arpan Blood Centre Nanded,"2nd Floor, Dayama Complex, Doctors Lane Ghamodiya, Nanded, Nanded, Dist. Nanded",9561400605,abbnanded@gmail.com,Charitable/Vol,Camps
16,Ashtavinayak Blood Bank,"Sai palace,akashwani kendra,near professor colony chowk, Ahmednagar, Dist. Ahmadnagar",21412423434,ashtavinayakbllodbank@gmail.com,Charitable/Vol,Camps
17,"Athar Blood Centre, Solapur","Athar Minorities Social & Welfare Associations, Athar Blood Bank, 1st floor, 410 Shukrawar Peth, Jamiya Complex, Near Jama Masjid, Solapur, Dist. Solapur",9689999744,atharbloodbank@ymail.com,Charitable/Vol,Camps
18,Aurangabad Thalassemia Society Shri Satya Sai Blood Centre,"Plot No.1 Satvahana Housing Society, Opposite Sant Tukaram Natyagruha N-5 CIDCO Aurangabad, Dist. Aurangabad",9168104104,shrissbbank@gmail.com,Charitable/Vol,Camps
19,Ayush Blood Centre AND Component Lab Ramdaspeth Nagpur,"NRPL House plot no.22/1 3d floor ,khare marg Dhantoli ,Nagpur, Nagpur, Dist. Nagpur",9822231664,ayush_bbc@rediffmail.com,Charitable/Vol,Camps
20,"Azad Panchi Groups, Miraj Serological Institute Blood Centre","Near Civil Hospital, Ganesh Nagar, 1st lane, S.No.1682, Sangli, Dist. Sangli","9423337545,0233-2374333",drrutujapujari@gmail.com,Charitable/Vol,Camps
21,"Azad Panchi Groups Sanchalit, Janseva Blood Centre, Hinjewadi Phase-1, Pune","S.No. 271/2A/2A, Flat No. 101, 102, 103, 104, 105, 1st Floor, Sera Heights II, Anant Nagar, Vindode Wasti, Behind TVS Showroom, Near Laxmi Chowk, Hinjewadi Phase-1, Pune 411057, Hinjewadi Pune, Dist. Pune",70578 81044,janasevabloodcenter@gmail.com,Charitable/Vol,Camps
22,"Balaji Blood Centre, Lonand, Khandala Taluk, Dist. Satara","2nd and 3rd Floor, Balaji Height, S no 415-2-2, Lonand- Satara Road, Lonand, Khandala Taluk, Dist. Satara - 415521, Lonand, Dist. Satara",9834273171,balajibblonand@gmail.com,Charitable/Vol,Camps
23,Bharati Vidyapeeth University Medical College And Hospital Blood Centre,"A/p Wanlesswadi,  Tal- Miraj , Sangli, Dist. Sangli",02332601594 / 02332601593 ext 266,bharatibloodbanksangli@gmail.com,Charitable/Vol,Camps
24,"Bhavar Blood Centre,  Badlapur (E), Taluka Ambernath, Dist. Thane","Basement of Sukhakarta Apartment, Survey No. -39, Hissa No. 6 B, Survey No. 40, Hissa No 1 A, Plot No-14, Aptewadi Road, Village Shirgaon, Badlapur (E), Taluka Ambernath, Dist. Thane, Badlapur, Dist. Thane",8208555090,bhavarbloodcentre@gmail.com,Charitable/Vol,Camps
25,Blood Center District Hospital Aurangabad,"Gut no.737 Opposite Airport Jalna Road, Chikalthana Aurangabad, Aurangabad, Dist. Aurangabad",9850108575,bloodcenterdhabad@gmail.com,Govt.,Camps
26,"Blood Centre and Component Separation unit, Sub-District Hospital, Dharni, District Amravati","Sub-District Hospital, Plot no.104, Sheet no 3, Dharni, District Amravati - 444702, Dharni, Dist. Amravati",70385 3492,bccsudharni@gmail.com,Govt.,Camps
27,Blood Centre Shri Vasantrao Naik  Govt. Medical College AND Hospital,"Waghapur Road, Yavatmal, Dist. Yavatmal",9822471353,deanvngmc@rediffmail.com,Govt.,Camps
28,Bombay Hospital Trust Blood Centre,"MRC, Bombay Hospital 12, New Marine Lines, Mumbai, Dist. Mumbai",9820302628,bloodbankbombayhospital@gmail.com,Charitable/Vol,Camps
29,Borivali Blood Centre (Doshi Memorial Charitable Trust),"CTS 21/B, 1st FLOOR, BMC MARKET VILLAGE MANDAPESHWAR, BEHIND SHAGUN HOTEL, OPP. AMISHA APPT, DAHISAR (W), Mumbai, Dist. Mumbai",8356942889,boriwalibloodbank@gmail.com,Charitable/Vol,Camps
30,"Byl Nair Hospital, Blood Centre","New OPD Bldg. 2nd Floor, Dr. A. L.Nair Road, Mumbai Central, Dist. Mumbai",2223027644,nairbloodbank@yahoo.com,Govt.,Camps
31,"Central Hospital Blood Centre, Ulhasnagar","Central Hospital Ulhasnagar No.3,Near Sewa Sadan College, Ulhasnagar, , ulhasnagar , Dist. Thane",9664366147,bloodbankulhasnagar@gmail.com,Govt.,Camps
32,Chakan Blood Centre,"Chakan, Yashwant Nagar, Ambethan Road, Pune, Dist. Pune",8888221018,chakanbloodcenter09@gmail.com,Charitable/Vol,Camps
33,"Chhatrapati Shahu Maharaj Pratishthan, Swastik Blood Centre, Kamothe, Navi Mumbai","Hall No. 1A, 1ST Floor, Plot No. 28, Sheetal Dhara Society, Sector-07, Landmark Blue Dark Post Office, Kamothe, (Navi Mumbai) Tal. Panvel, Dist. Raigad, Kamothe Navi Mumbai, Dist. Raigarh",8652558072,swastikbloodbank22@gmail.com,Charitable/Vol,Camps
34,Chidanand Charitable Trust Blood Centre,"2nd floor shastrinagar gen.hosp Kopar road Dombivili west, , Dombivili west, Dist. Thane",2484393,cctbloodbank@gmail.com,Charitable/Vol,Camps
35,Civil Hospital Bhandara Blood Centre,"General Hospital Blood Bank, , Santaji ward, Bhandara, Bhandara, Dist. Bhandara","8007263650,07184-252247(Hospital)",bloodbank_bhandara@rediffmail.com,Govt.,Camps
36,Civil Hospital Blood Centre Nashik,"Near Thakkar Bazaar, Trimbak Naka, Nashik, Dist. Nashik",7821024199,civilbloodbanknsk@gmail.com,Govt.,Camps
37,"Civil Surgeon, District Blood Centre","Civil Hospital, Alibagh, Alibag, Dist. Raigarh",8788019740,bloodbankalibag@gmail.com,Govt.,Camps
38,"Civil Surgeon, District General Hospital Blood Centre","General Hospital Blood Bank Buldhana , Near Prabadhan School,Bhonde Sarakar Chauk, Buldana, Dist. Buldana","9423452824(Dr.Pardge), 9422184152(Tech)",bloodbankcsbuldhana@gmail.com,Govt.,Camps
39,"Civil Surgeon, District General Hospital Blood Centre AND Blood Component Unit","District General Hospital Blood Bank & Blood Component unit,  Hingoli Akola, Road Risala Bazar, Hingoli, Dist. Hingoli",9422287396,bloodbankhingoli@gmail.com,Govt.,Camps
40,"Civil Surgeon, District General Hospital Blood Centre,  Nandurbar","Railway Station Road Survey No.406 Civil Hospital Compound, Sakri Road,Near Collector Office, Nandurbar, Dist. Nandurbar",9823270226(Jayashree Khaiche 9890806397),csnandurbar1@gmail.com,Govt.,Camps
41,"Civil Surgeon, General Hospital, Blood Centre","District General / Civil Hospital  Savedi Road, Ahmednagar, Dist. Ahmadnagar",8788120409,bloodbankcha37@gmail.com,Govt.,Camps
42,"Civil Surgeon, General Hospital Blood Centre Sindhudurganagari","At post - Oros, Tal - Kudal, Kudal, Dist. Sindhudurg","9422416949, 8007273138, 02362-228566",satardekar_prashant@yahoo.in,Govt.,Camps
43,"Civil Surgeon, Sarva Samanya Hospital Blood Centre","S.K.N.P General Hospital, Sadar bazar, Satara, Dist. Satara",9403347994,bbsknpsatara@gmail.com,Govt.,Camps
44,"Criticare Asia Hospital Blood Centre, Pvt. Ltd., Kurla (W), Mumbai","Room No. 29 to 44, Upper Basment, Criticare Asia Multispeciality Hospital & Research Centre, New CTS No. 637/C/1, Off. L.B.S. Marg, Kurla (W), Mumbai, Kurla, Mumbai, Dist. Mumbai",022-675567,bloodcenter.k@criticareasiahospital.com,Private,Camps
45,Dattaji Bhale Blood Centre,"C/o: Dr.Hegdewar Rugnalaya Campus, Near Gajanan Mandir, Jawahar Colony road, Garkheda Parisar, Aurangabad, Dist. Aurangabad",0240-2335196 / 2331195,manjusha-kulkarni@hedgewar.org,Charitable/Vol,Camps
46,Dean Datta Meghe Medical Collecge M.S.Dattatraya Blood Centre,"CCL Building,Ground Floor, Wanadongri,Hingana, Nagpur, Nagpur, Dist. Nagpur",9960618720,dattatrayabloodbank@gmail.com,Charitable/Vol,Camps
47,"Dean, Govt. Medical College Hospital Blood Centre","Dist.Gen Hospital Comp. Z.P.Road, Akola, Dist. Akola",9503865536,bloodbankgmcakola@gmail.com,Govt.,Camps
48,Dean Indira Gandhi Medical College AND Hospital Blood Centre,"IGMC Hosp. Central Avenue Road, Near Railway Station, Nagpur(MS), Nagpur, Dist. Nagpur",9326175743,dramrapali.gaikwad@gmail.com,Govt.,Camps
49,"Dean, Swami Ramanand Tirtha Rural Medical College. AND Hospital, Blood Centre","SRTR., MCH Ambajogai TQ.Ambajogai, Ambajogai, Dist. Bid","9422467018,02446 244472",srtrgmcbb@gmail.com,Govt.,Camps
50,Deepak Foundations Anviksha Blood Centre,"1st floor, Paras Darshan, M.G.Road, Ghatkopar (East), Mumbai, Dist. Mumbai",8591265830,anvikshabb@hotmail.com,Charitable/Vol,Camps
51,Dhanwantri Blood Centre,"Dhanwantri Blood Centre,  H. No. 5/464/1 plot No. 77/3, Jamner Road, Rangoli Hotel  Jawal Anand Nagar Bhusawal, Bhusawal, Dist. Jalgaon",9326728048,mahajanpath@hotmail.com,Charitable/Vol,Camps
